"planner","domain","problem","timesols","values"
"fd-autotune-1","transport","001","9","1531.0"
"fd-autotune-1","transport","002","16, 34, 65","5728.0, 4797.0, 3531.0"
"fd-autotune-1","transport","003","6, 8, 12, 77, 184, 299, 402, 505, 607, 708, 817","4753.0, 4439.0, 3136.0, 3129.0, 3119.0, 3070.0, 3062.0, 3056.0, 3029.0, 3026.0, 3017.0"
"fd-autotune-1","transport","004","12","5050.0"
"fd-autotune-1","transport","005","11, 19, 45, 160, 288, 499, 662, 881","5350.0, 5256.0, 4846.0, 4736.0, 4659.0, 4414.0, 4283.0, 4249.0"
"fd-autotune-1","transport","006",,
"fd-autotune-1","transport","007","13, 22, 33","2074.0, 1781.0, 1500.0"
"fd-autotune-1","transport","008",,
"fd-autotune-1","transport","009","32, 51","7960.0, 5798.0"
"fd-autotune-1","transport","010","23, 47, 69","2825.0, 2138.0, 1844.0"
"fd-autotune-1","transport","011","19, 39, 55","2780.0, 2429.0, 1841.0"
"fd-autotune-1","transport","012","22, 54, 103","3680.0, 2909.0, 2705.0"
"fd-autotune-1","transport","013",,
"fd-autotune-1","transport","014",,
"fd-autotune-1","transport","015",,
"fd-autotune-1","transport","016",,
"fd-autotune-1","transport","017",,
"fd-autotune-1","transport","018",,
"fd-autotune-1","transport","019",,
"fd-autotune-2","transport","000","10, 14, 876, 890, 1056, 1309, 1520","1211.0, 1170.0, 1100.0, 1088.0, 1034.0, 1017.0, 1014.0"
"fd-autotune-2","transport","001","9","1319.0"
"fd-autotune-2","transport","002","232, 493, 513","4149.0, 4091.0, 3398.0"
"fd-autotune-2","transport","003","380, 405","5691.0, 4002.0"
"fd-autotune-2","transport","004","297, 530","6299.0, 6032.0"
"fd-autotune-2","transport","005",,
"fd-autotune-2","transport","006",,
"fd-autotune-2","transport","007","13, 23, 44, 52, 326, 692, 1234","1602.0, 1551.0, 1517.0, 1452.0, 1429.0, 1424.0, 1411.0"
"fd-autotune-2","transport","008",,
"fd-autotune-2","transport","009","40, 88, 112, 137, 164, 192, 683, 1198","5563.0, 5090.0, 4817.0, 4794.0, 4760.0, 4734.0, 4719.0, 4690.0"
"fd-autotune-2","transport","010","22, 111, 707","2002.0, 1971.0, 1315.0"
"fd-autotune-2","transport","011","25, 50, 91","2199.0, 2118.0, 1905.0"
"fd-autotune-2","transport","012","43, 216","2391.0, 2388.0"
"fd-autotune-2","transport","013",,
"fd-autotune-2","transport","014",,
"fd-autotune-2","transport","015",,
"fd-autotune-2","transport","016",,
"fd-autotune-2","transport","017",,
"fd-autotune-2","transport","018",,
"fd-autotune-2","transport","019",,
"fdss-1","transport","000","8, 10, 220, 978, 1075, 1578","1653.0, 1438.0, 1421.0, 1415.0, 1409.0, 1371.0"
"fdss-1","transport","001","10, 302","1474.0, 1247.0"
"fdss-1","transport","002","15, 778, 1151","4520.0, 4161.0, 3879.0"
"fdss-1","transport","003","5, 6, 716, 995, 1195","4481.0, 4413.0, 4410.0, 4369.0, 3692.0"
"fdss-1","transport","004","8, 716","5820.0, 4298.0"
"fdss-1","transport","005","11, 736","5775.0, 5451.0"
"fdss-1","transport","006","16, 769","7490.0, 6754.0"
"fdss-1","transport","007","16, 21, 231, 969, 1686","2116.0, 1969.0, 1525.0, 1524.0, 1488.0"
"fdss-1","transport","008","23","7803.0"
"fdss-1","transport","009","21, 29, 710","7175.0, 5990.0, 5120.0"
"fdss-1","transport","010","16, 1127, 1213","1972.0, 1916.0, 1845.0"
"fdss-1","transport","011","20, 29, 1120, 1607","2741.0, 2091.0, 2065.0, 1835.0"
"fdss-1","transport","012","23, 294, 1048","2437.0, 2373.0, 2364.0"
"fdss-1","transport","013",,
"fdss-1","transport","014",,
"fdss-1","transport","015",,
"fdss-1","transport","016","1658","6163.0"
"fdss-1","transport","017","1075","5043.0"
"fdss-1","transport","018",,
"fdss-1","transport","019",,
"fdss-2","transport","000","17","1847.0"
"fdss-2","transport","001","169, 341","1815.0, 1807.0"
"fdss-2","transport","002","387","5039.0"
"fdss-2","transport","003","170","5550.0"
"fdss-2","transport","004","379, 398","6973.0, 6137.0"
"fdss-2","transport","005","1088","5157.0"
"fdss-2","transport","006","1174","9338.0"
"fdss-2","transport","007","103","1995.0"
"fdss-2","transport","008","1183","8817.0"
"fdss-2","transport","009","283","8663.0"
"fdss-2","transport","010","394","2516.0"
"fdss-2","transport","011","257","2970.0"
"fdss-2","transport","012","387","3298.0"
"fdss-2","transport","013",,
"fdss-2","transport","014",,
"fdss-2","transport","015",,
"fdss-2","transport","016","1722","6111.0"
"fdss-2","transport","017","1691, 1728","5409.0, 5154.0"
"fdss-2","transport","018",,
"fdss-2","transport","019",,
"forkuniform","transport","000","8, 80","2447.0, 1620.0"
"forkuniform","transport","001","10, 72","2338.0, 1405.0"
"forkuniform","transport","002","13","4823.0"
"forkuniform","transport","003","6","5942.0"
"forkuniform","transport","004","553","3873.0"
"forkuniform","transport","005","1005","3401.0"
"forkuniform","transport","006",,
"forkuniform","transport","007","13, 115","1931.0, 1859.0"
"forkuniform","transport","008",,
"forkuniform","transport","009","21","9451.0"
"forkuniform","transport","010",,
"forkuniform","transport","011","18","3092.0"
"forkuniform","transport","012","27","5073.0"
"forkuniform","transport","013",,
"forkuniform","transport","014",,
"forkuniform","transport","015",,
"forkuniform","transport","016",,
"forkuniform","transport","017",,
"forkuniform","transport","018",,
"forkuniform","transport","019",,
"lama-2008","transport","000","8, 17","1228.0, 1050.0"
"lama-2008","transport","001","10, 14, 30","1353.0, 1227.0, 996.0"
"lama-2008","transport","002","15","3313.0"
"lama-2008","transport","003","7","5135.0"
"lama-2008","transport","004","11","5481.0"
"lama-2008","transport","005","14","4320.0"
"lama-2008","transport","006","78","6652.0"
"lama-2008","transport","007","13, 255, 321, 589","1435.0, 1399.0, 1343.0, 1211.0"
"lama-2008","transport","008","42","6786.0"
"lama-2008","transport","009","32","5943.0"
"lama-2008","transport","010","17","1547.0"
"lama-2008","transport","011","28","1929.0"
"lama-2008","transport","012",,
"lama-2008","transport","013","253","7925.0"
"lama-2008","transport","014","556","7192.0"
"lama-2008","transport","015","205","6951.0"
"lama-2008","transport","016","948","6166.0"
"lama-2008","transport","017","262","5381.0"
"lama-2008","transport","018","818","5716.0"
"lama-2008","transport","019","503","5831.0"
"lama-2011","transport","000","8","1485.0"
"lama-2011","transport","001","10, 13, 16, 21, 28","1323.0, 1322.0, 1247.0, 1180.0, 1010.0"
"lama-2011","transport","002","15","3882.0"
"lama-2011","transport","003","11, 14","4459.0, 3741.0"
"lama-2011","transport","004","14, 19","4864.0, 4805.0"
"lama-2011","transport","005","31, 55","6338.0, 5415.0"
"lama-2011","transport","006","580, 606","8396.0, 7222.0"
"lama-2011","transport","007","14","1452.0"
"lama-2011","transport","008","177","6479.0"
"lama-2011","transport","009","22, 40","5730.0, 5641.0"
"lama-2011","transport","010","20","2113.0"
"lama-2011","transport","011","19","1947.0"
"lama-2011","transport","012","43","2932.0"
"lama-2011","transport","013","348, 639","9737.0, 8493.0"
"lama-2011","transport","014","928, 1024","7028.0, 6909.0"
"lama-2011","transport","015",,
"lama-2011","transport","016","770","5899.0"
"lama-2011","transport","017","353","5690.0"
"lama-2011","transport","018","356","5777.0"
"lama-2011","transport","019","620","4435.0"
"lamar","transport","000","8, 23, 85","1727.0, 1492.0, 1244.0"
"lamar","transport","001","14, 19, 44, 90","1813.0, 1269.0, 1233.0, 1032.0"
"lamar","transport","002","36, 235","7998.0, 5217.0"
"lamar","transport","003","14","5323.0"
"lamar","transport","004","64","10379.0"
"lamar","transport","005","29","5009.0"
"lamar","transport","006",,
"lamar","transport","007","26, 180, 231, 456","2602.0, 2360.0, 1903.0, 1526.0"
"lamar","transport","008",,
"lamar","transport","009","110","7095.0"
"lamar","transport","010","47, 145","2734.0, 2404.0"
"lamar","transport","011","47, 217","2920.0, 2667.0"
"lamar","transport","012","105, 392","5541.0, 3436.0"
"lamar","transport","013","554","11760.0"
"lamar","transport","014","554","10581.0"
"lamar","transport","015","1008","13078.0"
"lamar","transport","016",,
"lamar","transport","017",,
"lamar","transport","018",,
"lamar","transport","019",,
"lprpgp","transport","000",,
"lprpgp","transport","001",,
"lprpgp","transport","002",,
"lprpgp","transport","003",,
"lprpgp","transport","004",,
"lprpgp","transport","005",,
"lprpgp","transport","006",,
"lprpgp","transport","007",,
"lprpgp","transport","008",,
"lprpgp","transport","009",,
"lprpgp","transport","010",,
"lprpgp","transport","011",,
"lprpgp","transport","012",,
"lprpgp","transport","013",,
"lprpgp","transport","014",,
